"caso_ano","caso_anomes","caso_mes","qtd_casos","bairro","regiao","zona","area","area_grupo","bairro_ha","bairro_pop2010","ciclo_mes","ciclo","ciclo_parte","ciclo_num"
2002,200207,7,3,"Flamengo","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",164.63,50043,12,"ciclo2002","predicao",2002
2002,200201,1,79,"Glória","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",114.01,9661,6,"ciclo2002","predicao",2002
2002,200202,2,69,"Glória","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",114.01,9661,7,"ciclo2002","predicao",2002
2002,200203,3,135,"Glória","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",114.01,9661,8,"ciclo2002","predicao",2002
2002,200204,4,36,"Glória","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",114.01,9661,9,"ciclo2002","predicao",2002
2002,200205,5,8,"Glória","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",114.01,9661,10,"ciclo2002","predicao",2002
2002,200206,6,3,"Glória","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",114.01,9661,11,"ciclo2002","predicao",2002
2002,200207,7,1,"Glória","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",114.01,9661,12,"ciclo2002","predicao",2002
2002,200201,1,141,"Laranjeiras","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",249.35,45554,6,"ciclo2002","predicao",2002
2002,200202,2,139,"Laranjeiras","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",249.35,45554,7,"ciclo2002","predicao",2002
2002,200203,3,251,"Laranjeiras","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",249.35,45554,8,"ciclo2002","predicao",2002
2002,200204,4,84,"Laranjeiras","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",249.35,45554,9,"ciclo2002","predicao",2002
2002,200205,5,12,"Laranjeiras","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",249.35,45554,10,"ciclo2002","predicao",2002
2002,200206,6,1,"Laranjeiras","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",249.35,45554,11,"ciclo2002","predicao",2002
2002,200207,7,0,"Laranjeiras","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",249.35,45554,12,"ciclo2002","predicao",2002
2002,200201,1,143,"Catete","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",68.1,24057,6,"ciclo2002","predicao",2002
2002,200202,2,88,"Catete","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",68.1,24057,7,"ciclo2002","predicao",2002
2002,200203,3,209,"Catete","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",68.1,24057,8,"ciclo2002","predicao",2002
2002,200204,4,71,"Catete","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",68.1,24057,9,"ciclo2002","predicao",2002
2002,200205,5,10,"Catete","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",68.1,24057,10,"ciclo2002","predicao",2002
2002,200206,6,5,"Catete","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",68.1,24057,11,"ciclo2002","predicao",2002
2002,200207,7,3,"Catete","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",68.1,24057,12,"ciclo2002","predicao",2002
2002,200201,1,16,"Cosme Velho","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",89.25,7178,6,"ciclo2002","predicao",2002
2002,200202,2,21,"Cosme Velho","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",89.25,7178,7,"ciclo2002","predicao",2002
2002,200203,3,43,"Cosme Velho","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",89.25,7178,8,"ciclo2002","predicao",2002
2002,200204,4,13,"Cosme Velho","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",89.25,7178,9,"ciclo2002","predicao",2002
2002,200205,5,2,"Cosme Velho","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",89.25,7178,10,"ciclo2002","predicao",2002
2002,200206,6,0,"Cosme Velho","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",89.25,7178,11,"ciclo2002","predicao",2002
2002,200207,7,0,"Cosme Velho","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",89.25,7178,12,"ciclo2002","predicao",2002
2002,200201,1,217,"Botafogo","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",479.9,82890,6,"ciclo2002","predicao",2002
2002,200202,2,516,"Botafogo","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",479.9,82890,7,"ciclo2002","predicao",2002
2002,200203,3,676,"Botafogo","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",479.9,82890,8,"ciclo2002","predicao",2002
2002,200204,4,247,"Botafogo","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",479.9,82890,9,"ciclo2002","predicao",2002
2002,200205,5,76,"Botafogo","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",479.9,82890,10,"ciclo2002","predicao",2002
2002,200206,6,5,"Botafogo","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",479.9,82890,11,"ciclo2002","predicao",2002
2002,200207,7,1,"Botafogo","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",479.9,82890,12,"ciclo2002","predicao",2002
2002,200201,1,17,"Humaitá","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",105.45,13285,6,"ciclo2002","predicao",2002
2002,200202,2,67,"Humaitá","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",105.45,13285,7,"ciclo2002","predicao",2002
